fold,Dice,IoU,Accuracy,F1_macro,F1_weighted,artifact,best_ckpt
1,0.9493087023064416,0.9043180997072449,0.9751534095177283,0.9670202264053824,0.9750964834857998,logs/seg_camus_fold1_example.png,logs/seg_camus_fold1_best.pt
2,0.9464113062518779,0.8998243894776441,0.9749088287353516,0.9660973628677448,0.9748454417064204,logs/seg_camus_fold2_example.png,logs/seg_camus_fold2_best.pt
3,0.9482778783521002,0.9024126252886875,0.9748479402982272,0.9662305848160663,0.9748265103506148,logs/seg_camus_fold3_example.png,logs/seg_camus_fold3_best.pt
4,0.9465939869470813,0.9005818533003004,0.9756239377535306,0.9663347825097118,0.9756931991374375,logs/seg_camus_fold4_example.png,logs/seg_camus_fold4_best.pt
5,0.9426531086607237,0.8927399856319463,0.9731260446401743,0.9635703980127529,0.9731522891338609,logs/seg_camus_fold5_example.png,logs/seg_camus_fold5_best.pt
