fold,Dice,IoU,Accuracy,F1_macro,F1_weighted,artifact,best_ckpt,Dice_RV,Dice_MYO,Dice_LV,IoU_RV,IoU_MYO,IoU_LV
1,0.6430379748344421,0.5598752498626709,0.9727122906795295,0.6430379005933003,0.9766740079961315,logs/seg_acdc_fold1_example_pred.nii.gz,logs/seg_acdc_ES_fold1_best.pt,0.986584484577179,0.4023175537586212,0.5402118563652039,0.9736400842666626,0.2756004333496094,0.43038511276245117
2,0.695234477519989,0.6166977882385254,0.9820057010100655,0.6952343998068666,0.9824694485589266,logs/seg_acdc_fold2_example_pred.nii.gz,logs/seg_acdc_ES_fold2_best.pt,0.9913085699081421,0.5258606672286987,0.5685340762138367,0.982836902141571,0.39810723066329956,0.46914932131767273
3,0.6040390133857727,0.522977888584137,0.9560751936706745,0.6040389870878323,0.9654765406257741,logs/seg_acdc_fold3_example_pred.nii.gz,logs/seg_acdc_ES_fold3_best.pt,0.9777655601501465,0.34264886379241943,0.4917026162147522,0.9570804238319397,0.23097236454486847,0.380880743265152
4,0.7079375982284546,0.618079423904419,0.9612612805609025,0.7079375300891774,0.9714404333274995,logs/seg_acdc_fold4_example_pred.nii.gz,logs/seg_acdc_ES_fold4_best.pt,0.9798705577850342,0.4892438054084778,0.654698371887207,0.9622554183006287,0.3535916209220886,0.5383912324905396
5,0.6097807288169861,0.5178265571594238,0.9436239595406749,0.6097806921617579,0.9592417176860797,logs/seg_acdc_fold5_example_pred.nii.gz,logs/seg_acdc_ES_fold5_best.pt,0.9706689119338989,0.32815641164779663,0.5305167436599731,0.94400554895401,0.21051160991191864,0.3989624083042145
