fold,Dice_RV,Dice_MYO,Dice_LV,IoU_RV,IoU_MYO,IoU_LV
1,0.986584484577179,0.4023175537586212,0.5402118563652039,0.9736400842666626,0.2756004333496094,0.43038511276245117
2,0.9913085699081421,0.5258606672286987,0.5685340762138367,0.982836902141571,0.39810723066329956,0.46914932131767273
3,0.9777655601501465,0.34264886379241943,0.4917026162147522,0.9570804238319397,0.23097236454486847,0.380880743265152
4,0.9798705577850342,0.4892438054084778,0.654698371887207,0.9622554183006287,0.3535916209220886,0.5383912324905396
5,0.9706689119338989,0.32815641164779663,0.5305167436599731,0.94400554895401,0.21051160991191864,0.3989624083042145
